corner,Controller,RMSE_theta,RMSE_theta_max,peak_theta,peak_u,energy_u,energy_z,duty_normsat,rho,unstable,za_v,m_alpha,m_q,m_de
v0000,Proposed,1.63476,5.47164,28.0631,0.545871,0.0599843,10749.1,0.49,0.967661,1,0.5,-2,-0.5,3
v0000,NoRelax-ProposedActive,530.616,1684.6,8864.58,0.601243,0.0446244,1.07159e+09,0.84,0.963735,1,0.5,-2,-0.5,3
v0000,QS-Hinf,0.153758,0.196506,0.409778,0.398686,0.0373541,62.5145,0,0.995895,0,0.5,-2,-0.5,3
v0000,PDL-Hinf,1171.2,4123.71,21702.7,0.622971,0.0565017,6.26422e+09,0.855,0.958658,1,0.5,-2,-0.5,3
v0000,RobustLQR,0.0291073,0.0662461,0.178824,0.429672,0.0494419,22.7084,0,0.978223,0,0.5,-2,-0.5,3
v0000,Core-CQLF-Hinf,0.150156,0.191133,0.383823,0.40013,0.0392539,61.728,0,0.99495,0,0.5,-2,-0.5,3
v0001,Proposed,0.037062,0.0399823,0.0895524,0.40032,0.0405856,25.1386,0,0.972082,0,0.5,-2,-0.5,7.5
v0001,NoRelax-ProposedActive,0.0762967,0.0870359,0.242037,0.40064,0.0481802,37.2583,0.005,0.966678,0,0.5,-2,-0.5,7.5
v0001,QS-Hinf,0.0385149,0.0451667,0.0968401,0.398686,0.0312966,24.8319,0,0.986497,0,0.5,-2,-0.5,7.5
v0001,PDL-Hinf,0.112061,0.156479,0.486481,0.460774,0.0655057,53.2557,0.09,0.960818,0,0.5,-2,-0.5,7.5
v0001,RobustLQR,0.0132142,0.024697,0.0388773,0.401506,0.0367426,14.8003,0,0.982817,0,0.5,-2,-0.5,7.5
v0001,Core-CQLF-Hinf,0.0427896,0.0497461,0.101425,0.40013,0.0320861,26.033,0,0.986193,0,0.5,-2,-0.5,7.5
v0010,Proposed,0.0495773,0.0652346,0.13262,0.417246,0.0388023,24.1708,0.025,0.961891,0,0.5,-2,2.5,3
