corner,Controller,RMSE_theta,RMSE_theta_max,peak_theta,peak_u,energy_u,energy_z,duty_normsat,rho,unstable,za_v,m_alpha,m_q,m_de
v0000,Proposed,298.437,998.781,5254.79,0.631807,0.0741414,3.70861e+08,0.83,0.967661,1,0.5,-2,-0.5,3
v0000,NoRelax-ProposedActive,918.49,3445.13,18131,0.720877,0.101664,4.34989e+09,0.855,0.963735,1,0.5,-2,-0.5,3
v0000,QS-Hinf,0.153667,0.219314,0.440045,0.510354,0.0907455,64.938,0,0.995895,0,0.5,-2,-0.5,3
v0000,PDL-Hinf,2095.09,5971.44,31428.2,0.65099,0.13203,1.40458e+10,0.895,0.958658,1,0.5,-2,-0.5,3
v0000,RobustLQR,0.423605,1.61629,7.71997,0.595614,0.117508,875.891,0.41,0.978223,0,0.5,-2,-0.5,3
v0000,Core-CQLF-Hinf,0.152802,0.220709,0.413187,0.537275,0.0946421,65.4825,0,0.99495,0,0.5,-2,-0.5,3
v0001,Proposed,0.0411632,0.0596278,0.180404,0.560537,0.119089,27.0139,0.04,0.972082,0,0.5,-2,-0.5,7.5
v0001,NoRelax-ProposedActive,0.0860355,0.140418,0.441485,0.68942,0.151902,42.96,0.13,0.966678,0,0.5,-2,-0.5,7.5
v0001,QS-Hinf,0.0412293,0.0598203,0.120678,0.398686,0.0806907,26.72,0,0.986497,0,0.5,-2,-0.5,7.5
v0001,PDL-Hinf,0.470068,1.12143,5.12762,0.744438,0.280494,562.814,0.505,0.960818,0,0.5,-2,-0.5,7.5
v0001,RobustLQR,0.0138245,0.0254982,0.066246,0.475666,0.109575,15.9007,0.01,0.982817,0,0.5,-2,-0.5,7.5
v0001,Core-CQLF-Hinf,0.0460184,0.0675467,0.126143,0.420025,0.0848641,28.1369,0,0.986193,0,0.5,-2,-0.5,7.5
v0010,Proposed,0.0504055,0.0666257,0.135572,0.458478,0.0841835,24.5488,0.04,0.961891,0,0.5,-2,2.5,3
v0010,NoRelax-ProposedActive,0.0928263,0.123712,0.264715,0.40064,0.125229,38.0097,0.205,0.959754,0,0.5,-2,2.5,3
v0010,QS-Hinf,0.0637445,0.0806055,0.205414,0.410745,0.0720728,19.7192,0,0.991997,0,0.5,-2,2.5,3
v0010,PDL-Hinf,0.217415,0.244018,0.547185,0.444813,0.254558,85.601,0.5,0.954595,0,0.5,-2,2.5,3
v0010,RobustLQR,0.025235,0.0423171,0.127987,0.538499,0.101765,12.9587,0,0.978912,0,0.5,-2,2.5,3
v0010,Core-CQLF-Hinf,0.0652711,0.0804342,0.210557,0.414024,0.0742537,20.6727,0,0.991582,0,0.5,-2,2.5,3
v0011,Proposed,0.034767,0.0399267,0.0808426,0.524307,0.102389,22.9575,0,0.971761,0,0.5,-2,2.5,7.5
v0011,NoRelax-ProposedActive,0.0726483,0.077251,0.175931,0.67147,0.117777,34.5665,0.01,0.966065,0,0.5,-2,2.5,7.5
v0011,QS-Hinf,0.0257421,0.0382479,0.0914966,0.398686,0.072843,16.9288,0,0.987848,0,0.5,-2,2.5,7.5
v0011,PDL-Hinf,0.102576,0.110984,0.273633,0.65189,0.13562,46.7914,0.05,0.959954,0,0.5,-2,2.5,7.5
v0011,RobustLQR,0.0196921,0.031854,0.0664166,0.446213,0.100606,12.7572,0,0.983262,0,0.5,-2,2.5,7.5
v0011,Core-CQLF-Hinf,0.0289292,0.0394894,0.0999176,0.40013,0.0778371,18.081,0,0.986472,0,0.5,-2,2.5,7.5
v0100,Proposed,0.0185931,0.0370368,0.121193,0.562752,0.10629,14.6585,0.035,0.981409,0,0.5,5,-0.5,3
v0100,NoRelax-ProposedActive,0.0470043,0.0513049,0.125567,0.406962,0.0839406,24.1881,0.07,0.97505,0,0.5,5,-0.5,3
v0100,QS-Hinf,0.0894271,0.133422,0.229414,0.445529,0.0912059,6.60383,0,0.997637,0,0.5,5,-0.5,3
v0100,PDL-Hinf,0.0787066,0.0868407,0.245397,0.401104,0.166216,35.0758,0.135,0.968582,0,0.5,5,-0.5,3
v0100,RobustLQR,0.0615378,0.0908828,0.155828,0.621589,0.130474,7.9783,0,0.989845,0,0.5,5,-0.5,3
v0100,Core-CQLF-Hinf,0.0834429,0.125902,0.214828,0.465313,0.0959057,6.75456,0,0.997057,0,0.5,5,-0.5,3
v0101,Proposed,0.0178459,0.0205945,0.0559051,0.5174,0.143345,18.7969,0,0.978113,0,0.5,5,-0.5,7.5
v0101,NoRelax-ProposedActive,0.057196,0.0594887,0.142808,0.700093,0.166041,29.3676,0,0.97182,0,0.5,5,-0.5,7.5
v0101,QS-Hinf,0.0522973,0.0815536,0.135193,0.398686,0.0939894,9.40426,0,0.995933,0,0.5,5,-0.5,7.5
v0101,PDL-Hinf,0.0899343,0.0956347,0.246479,0.693244,0.196572,41.2774,0.06,0.965419,0,0.5,5,-0.5,7.5
v0101,RobustLQR,0.0416311,0.0607242,0.0994104,0.458054,0.131723,10.3297,0,0.987518,0,0.5,5,-0.5,7.5
v0101,Core-CQLF-Hinf,0.0458429,0.0727813,0.119805,0.40013,0.0999711,10.034,0,0.995074,0,0.5,5,-0.5,7.5
v0110,Proposed,0.0270966,0.0474575,0.137649,0.40032,0.0535383,12.343,0.045,0.981897,0,0.5,5,2.5,3
v0110,NoRelax-ProposedActive,0.0445437,0.0561027,0.14072,0.40064,0.0613249,18.8811,0.19,0.975213,0,0.5,5,2.5,3
v0110,QS-Hinf,0.087528,0.131021,0.215366,0.398686,0.0634129,3.61395,0,0.997978,0,0.5,5,2.5,3
v0110,PDL-Hinf,0.0602304,0.08391,0.179009,0.437491,0.108208,24.1087,0.305,0.968391,0,0.5,5,2.5,3
