corner,Controller,RMSE_theta,RMSE_theta_max,peak_theta,peak_u,energy_u,energy_z,duty_normsat,rho,unstable,za_v,m_alpha,m_q,m_de
v0000,Proposed,3.25781,11.1881,58.2384,0.8,0.94156,45539.2,0.74,0.967661,1,0.5,-2,-0.5,3
v0000,NoRelax-ProposedActive,1042.35,3567.45,18774.9,0.791444,0.397736,4.71325e+09,0.91,0.963735,1,0.5,-2,-0.5,3
v0000,QS-Hinf,0.217738,0.248562,0.544121,0.785047,1.64901,92.9507,0.065,0.995895,0,0.5,-2,-0.5,3
v0000,PDL-Hinf,3168.72,6401.87,33693.8,0.8,0.230755,2.23851e+10,0.935,0.958658,1,0.5,-2,-0.5,3
v0000,RobustLQR,0.0568733,0.102949,0.221107,0.8,2.63845,35.2628,0.48,0.978223,0,0.5,-2,-0.5,3
v0000,Core-CQLF-Hinf,0.204462,0.241633,0.507521,0.720955,1.46836,89.2217,0.035,0.99495,0,0.5,-2,-0.5,3
v0001,Proposed,0.0586962,0.0810515,0.230445,0.8,3.15109,40.1655,0.905,0.972082,0,0.5,-2,-0.5,7.5
v0001,NoRelax-ProposedActive,0.104945,0.183922,0.556823,0.8,2.77977,61.2752,0.94,0.966678,0,0.5,-2,-0.5,7.5
v0001,QS-Hinf,0.147209,0.186883,0.423272,0.8,3.31978,65.6338,0.67,0.986497,0,0.5,-2,-0.5,7.5
v0001,PDL-Hinf,0.748235,1.24255,5.75175,0.8,1.37489,1103.95,0.93,0.960818,0,0.5,-2,-0.5,7.5
v0001,RobustLQR,0.0275832,0.0349259,0.113543,0.8,3.3226,29.7145,0.91,0.982817,0,0.5,-2,-0.5,7.5
v0001,Core-CQLF-Hinf,0.159644,0.215329,0.381152,0.8,3.20346,72.8308,0.63,0.986193,0,0.5,-2,-0.5,7.5
v0010,Proposed,0.0618367,0.0728408,0.151548,0.8,2.61944,30.3193,0.42,0.961891,0,0.5,-2,2.5,3
v0010,NoRelax-ProposedActive,0.100046,0.132719,0.281776,0.8,1.88442,42.8019,0.56,0.959754,0,0.5,-2,2.5,3
v0010,QS-Hinf,0.127659,0.145798,0.330641,0.79953,3.27215,38.2609,0.385,0.991997,0,0.5,-2,2.5,3
v0010,PDL-Hinf,0.199891,0.212907,0.469424,0.8,1.06339,79.642,0.7,0.954595,0,0.5,-2,2.5,3
v0010,RobustLQR,0.0423679,0.0560768,0.186396,0.8,3.3311,20.0654,0.62,0.978912,0,0.5,-2,2.5,3
v0010,Core-CQLF-Hinf,0.122824,0.146746,0.317579,0.8,3.1124,38.5426,0.255,0.991582,0,0.5,-2,2.5,3
v0011,Proposed,0.0506823,0.0594052,0.125212,0.8,3.57988,33.1149,0.91,0.971761,0,0.5,-2,2.5,7.5
v0011,NoRelax-ProposedActive,0.0841094,0.0925212,0.21879,0.8,3.25151,45.1741,0.905,0.966065,0,0.5,-2,2.5,7.5
v0011,QS-Hinf,0.0989833,0.144202,0.253693,0.778896,3.84965,35.9807,0.82,0.987848,0,0.5,-2,2.5,7.5
v0011,PDL-Hinf,0.113097,0.125651,0.313023,0.8,2.93641,58.0767,0.88,0.959954,0,0.5,-2,2.5,7.5
v0011,RobustLQR,0.0281521,0.0413091,0.122764,0.8,3.72727,21.3893,0.95,0.983262,0,0.5,-2,2.5,7.5
v0011,Core-CQLF-Hinf,0.101738,0.148405,0.263626,0.769459,3.82117,38.8431,0.8,0.986472,0,0.5,-2,2.5,7.5
v0100,Proposed,0.0226636,0.0471736,0.130487,0.8,2.51712,16.0788,0.365,0.981409,0,0.5,5,-0.5,3
v0100,NoRelax-ProposedActive,0.0459898,0.0476611,0.139763,0.8,2.41158,25.37,0.495,0.97505,0,0.5,5,-0.5,3
v0100,QS-Hinf,0.107786,0.150889,0.26178,0.8,3.31579,10.7773,0.35,0.997637,0,0.5,5,-0.5,3
v0100,PDL-Hinf,0.0770386,0.0849928,0.244444,0.8,2.2125,36.6294,0.44,0.968582,0,0.5,5,-0.5,3
v0100,RobustLQR,0.0768378,0.102186,0.165978,0.8,3.30652,11.3372,0.565,0.989845,0,0.5,5,-0.5,3
v0100,Core-CQLF-Hinf,0.101333,0.140848,0.243363,0.8,3.19103,10.5812,0.31,0.997057,0,0.5,5,-0.5,3
v0101,Proposed,0.021223,0.0346931,0.113344,0.8,3.23562,22.8719,0.875,0.978113,0,0.5,5,-0.5,7.5
v0101,NoRelax-ProposedActive,0.0504388,0.055099,0.141484,0.8,3.08528,34.1522,0.915,0.97182,0,0.5,5,-0.5,7.5
v0101,QS-Hinf,0.0965054,0.135514,0.242691,0.799942,3.84803,15.0138,0.83,0.995933,0,0.5,5,-0.5,7.5
v0101,PDL-Hinf,0.0848934,0.0909913,0.280785,0.783097,2.77761,46.8924,0.935,0.965419,0,0.5,5,-0.5,7.5
v0101,RobustLQR,0.0691138,0.0944389,0.164537,0.785712,3.41583,15.42,0.925,0.987518,0,0.5,5,-0.5,7.5
v0101,Core-CQLF-Hinf,0.0913309,0.129,0.227923,0.8,3.74464,14.9642,0.785,0.995074,0,0.5,5,-0.5,7.5
v0110,Proposed,0.0331994,0.0545526,0.143588,0.8,2.3617,13.6449,0.37,0.981897,0,0.5,5,2.5,3
v0110,NoRelax-ProposedActive,0.0455812,0.0528945,0.165478,0.8,2.14486,20.0875,0.535,0.975213,0,0.5,5,2.5,3
v0110,QS-Hinf,0.106645,0.152143,0.258317,0.8,3.41874,7.14021,0.405,0.997978,0,0.5,5,2.5,3
v0110,PDL-Hinf,0.0591793,0.0818423,0.178039,0.8,1.75318,25.1514,0.555,0.968391,0,0.5,5,2.5,3
v0110,RobustLQR,0.0796634,0.113641,0.170553,0.8,3.35555,8.70346,0.585,0.990432,0,0.5,5,2.5,3
v0110,Core-CQLF-Hinf,0.100659,0.144961,0.245475,0.8,3.26027,7.02615,0.41,0.99747,0,0.5,5,2.5,3
v0111,Proposed,0.0263919,0.0359132,0.109379,0.8,3.39398,19.1022,0.855,0.978261,0,0.5,5,2.5,7.5
v0111,NoRelax-ProposedActive,0.0486622,0.0606375,0.122172,0.796333,3.10192,30.3874,0.905,0.971745,0,0.5,5,2.5,7.5
v0111,QS-Hinf,0.0969129,0.136922,0.234263,0.779796,3.91675,11.2517,0.85,0.996319,0,0.5,5,2.5,7.5
v0111,PDL-Hinf,0.0820618,0.0911109,0.225801,0.8,2.89811,42.4455,0.895,0.965138,0,0.5,5,2.5,7.5
v0111,RobustLQR,0.0717189,0.101915,0.168434,0.8,3.71667,12.5341,0.93,0.987849,0,0.5,5,2.5,7.5
v0111,Core-CQLF-Hinf,0.0895344,0.121351,0.208343,0.777957,3.87913,11.3482,0.815,0.995527,0,0.5,5,2.5,7.5
v1000,Proposed,0.115844,0.312544,1.06424,0.8,1.69482,59.2966,0.645,0.909214,0,1.5,-2,-0.5,3
v1000,NoRelax-ProposedActive,11.5669,34.5887,163.496,0.8,0.50547,367288,0.895,0.918012,1,1.5,-2,-0.5,3
v1000,QS-Hinf,0.135013,0.16211,0.297978,0.760862,2.61226,47.9871,0.195,0.975308,0,1.5,-2,-0.5,3
v1000,PDL-Hinf,100.11,165.143,791.02,0.8,0.264311,1.56063e+07,0.93,0.910722,1,1.5,-2,-0.5,3
v1000,RobustLQR,0.0461134,0.0707867,0.192606,0.8,3.19546,24.5288,0.605,0.943593,0,1.5,-2,-0.5,3
v1000,Core-CQLF-Hinf,0.127502,0.141066,0.291972,0.770805,2.49171,46.1382,0.12,0.974028,0,1.5,-2,-0.5,3
v1001,Proposed,0.040758,0.0590604,0.18537,0.8,3.24737,29.876,0.885,0.9076,0,1.5,-2,-0.5,7.5
v1001,NoRelax-ProposedActive,0.0613648,0.122396,0.420548,0.8,2.82624,37.3293,0.95,0.894614,0,1.5,-2,-0.5,7.5
v1001,QS-Hinf,0.0934013,0.119748,0.237522,0.785591,3.67736,38.9902,0.735,0.987848,0,1.5,-2,-0.5,7.5
v1001,PDL-Hinf,0.293364,0.457356,1.77957,0.746416,1.64499,196.714,0.94,0.886045,0,1.5,-2,-0.5,7.5
v1001,RobustLQR,0.0285047,0.0357657,0.11959,0.8,3.49002,24.6604,0.945,0.961958,0,1.5,-2,-0.5,7.5
v1001,Core-CQLF-Hinf,0.0864906,0.107393,0.192922,0.8,3.58309,38.3751,0.705,0.985967,0,1.5,-2,-0.5,7.5
v1010,Proposed,0.0367781,0.0513583,0.145917,0.8,3.26069,19.7612,0.54,0.93304,0,1.5,-2,2.5,3
v1010,NoRelax-ProposedActive,0.0462181,0.0565396,0.130774,0.8,2.90374,23.6795,0.585,0.922191,0,1.5,-2,2.5,3
v1010,QS-Hinf,0.0593446,0.0768297,0.166101,0.8,3.5741,16.899,0.355,0.991622,0,1.5,-2,2.5,3
v1010,PDL-Hinf,0.0598359,0.0645731,0.194169,0.8,2.25279,26.7447,0.49,0.913631,0,1.5,-2,2.5,3
v1010,RobustLQR,0.0384877,0.0522022,0.166611,0.8,3.71496,15.7164,0.725,0.964528,0,1.5,-2,2.5,3
v1010,Core-CQLF-Hinf,0.0627737,0.0877889,0.17542,0.8,3.51879,18.7439,0.385,0.990191,0,1.5,-2,2.5,3
v1011,Proposed,0.030793,0.042152,0.104083,0.8,3.66772,23.159,0.935,0.920882,0,1.5,-2,2.5,7.5
v1011,NoRelax-ProposedActive,0.0435053,0.0528359,0.133368,0.8,3.3608,27.6735,0.925,0.909507,0,1.5,-2,2.5,7.5
v1011,QS-Hinf,0.0480069,0.0617206,0.125341,0.8,3.91914,18.5815,0.91,0.990923,0,1.5,-2,2.5,7.5
v1011,PDL-Hinf,0.0551149,0.0619872,0.193373,0.8,3.0665,30.8209,0.905,0.900711,0,1.5,-2,2.5,7.5
v1011,RobustLQR,0.0291719,0.0450335,0.115184,0.8,3.93296,18.1262,0.965,0.966455,0,1.5,-2,2.5,7.5
v1011,Core-CQLF-Hinf,0.0524994,0.0685921,0.141192,0.8,3.90846,21.402,0.85,0.989441,0,1.5,-2,2.5,7.5
v1100,Proposed,0.0208388,0.0382322,0.133708,0.8,3.38697,16.1019,0.545,0.953019,0,1.5,5,-0.5,3
v1100,NoRelax-ProposedActive,0.0307964,0.0341298,0.126903,0.8,3.34207,20.1931,0.69,0.933922,0,1.5,5,-0.5,3
v1100,QS-Hinf,0.0768996,0.106022,0.186342,0.8,3.51021,9.72511,0.405,0.994538,0,1.5,5,-0.5,3
v1100,PDL-Hinf,0.0446676,0.0484138,0.161944,0.8,3.00387,23.5833,0.56,0.91254,0,1.5,5,-0.5,3
v1100,RobustLQR,0.0569844,0.0763464,0.126304,0.8,3.64243,12.3068,0.64,0.97645,0,1.5,5,-0.5,3
v1100,Core-CQLF-Hinf,0.0710331,0.0958334,0.167633,0.8,3.43003,9.89042,0.405,0.993521,0,1.5,5,-0.5,3
v1101,Proposed,0.0170137,0.0281466,0.113905,0.8,3.38152,20.5364,0.92,0.942484,0,1.5,5,-0.5,7.5
v1101,NoRelax-ProposedActive,0.0318236,0.037368,0.115987,0.8,3.23282,25.1948,0.955,0.916258,0,1.5,5,-0.5,7.5
v1101,QS-Hinf,0.0623748,0.0824612,0.160646,0.8,3.93601,13.9941,0.86,0.992635,0,1.5,5,-0.5,7.5
v1101,PDL-Hinf,0.046966,0.0530862,0.192999,0.799811,2.89982,30.2463,0.945,0.867991,0,1.5,5,-0.5,7.5
v1101,RobustLQR,0.045128,0.0561149,0.114101,0.764882,3.5841,16.4979,0.94,0.972009,0,1.5,5,-0.5,7.5
v1101,Core-CQLF-Hinf,0.0595102,0.0800954,0.146538,0.8,3.88032,14.3304,0.815,0.991392,0,1.5,5,-0.5,7.5
v1110,Proposed,0.0327566,0.0517381,0.150304,0.8,2.96892,12.5956,0.495,0.958445,0,1.5,5,2.5,3
v1110,NoRelax-ProposedActive,0.0334495,0.0411937,0.143442,0.8,2.8252,16.4479,0.615,0.936709,0,1.5,5,2.5,3
v1110,QS-Hinf,0.0831459,0.120498,0.19827,0.8,3.5352,6.13826,0.35,0.996047,0,1.5,5,2.5,3
v1110,PDL-Hinf,0.0425488,0.0570247,0.193314,0.8,2.52654,19.2224,0.515,0.905983,0,1.5,5,2.5,3
v1110,RobustLQR,0.0663362,0.0973229,0.142803,0.8,3.54104,9.09685,0.665,0.980459,0,1.5,5,2.5,3
v1110,Core-CQLF-Hinf,0.0802879,0.113864,0.189268,0.8,3.39258,6.26483,0.455,0.995257,0,1.5,5,2.5,3
v1111,Proposed,0.0275034,0.0409429,0.150264,0.794069,3.55141,17.9514,0.915,0.945062,0,1.5,5,2.5,7.5
v1111,NoRelax-ProposedActive,0.0291714,0.0368097,0.103108,0.8,3.34503,22.3848,0.925,0.911812,0,1.5,5,2.5,7.5
v1111,QS-Hinf,0.0701821,0.0975691,0.151266,0.765448,3.91287,10.7297,0.895,0.993861,0,1.5,5,2.5,7.5
v1111,PDL-Hinf,0.0413855,0.0473478,0.135354,0.8,3.13669,25.9085,0.945,0.88794,0,1.5,5,2.5,7.5
v1111,RobustLQR,0.0521594,0.0660892,0.110687,0.8,3.78007,13.483,0.95,0.974448,0,1.5,5,2.5,7.5
v1111,Core-CQLF-Hinf,0.0650816,0.0887083,0.137064,0.799612,3.91498,11.1033,0.87,0.992778,0,1.5,5,2.5,7.5
