corner,Controller,RMSE_theta,RMSE_theta_max,peak_theta,peak_u,energy_u,energy_z,duty_normsat,rho,unstable,za_v,m_alpha,m_q,m_de
v0000,Proposed,1.54839,2.45228,12.6924,0.8,0.940539,4071.89,0.645,0.972233,0,0.5,-2,-0.5,3
v0000,BaselineB,234.46,532.931,2803.36,0.8,0.451599,1.30785e+08,0.905,0.966369,1,0.5,-2,-0.5,3
v0000,NominalLQR,0.0317017,0.0471963,0.137973,0.558968,1.19565,12.2842,0.02,0.971831,0,0.5,-2,-0.5,3
v0000,RobustLQR_WV,0.0208501,0.0280464,0.11428,0.797812,2.34211,10.9387,0.235,0.980932,0,0.5,-2,-0.5,3
v0001,Proposed,162.535,296.345,1558.22,0.764153,0.420033,4.78225e+07,0.94,0.974585,1,0.5,-2,-0.5,7.5
v0001,BaselineB,3696.6,7128.24,37514.8,0.744312,0.331974,2.85106e+10,0.97,0.968611,1,0.5,-2,-0.5,7.5
v0001,NominalLQR,0.118006,0.14908,0.412584,0.74608,1.42746,73.1659,0.905,0.975423,0,0.5,-2,-0.5,7.5
v0001,RobustLQR_WV,0.110608,0.119283,0.238434,0.746561,1.39192,69.4214,0.96,0.982864,0,0.5,-2,-0.5,7.5
v0010,Proposed,0.037922,0.0449201,0.0989557,0.8,2.04638,12.5764,0.31,0.971505,0,0.5,-2,2.5,3
v0010,BaselineB,0.075417,0.0805664,0.205896,0.775701,2.27144,21.6921,0.51,0.964476,0,0.5,-2,2.5,3
v0010,NominalLQR,0.0195997,0.0274274,0.0972031,0.671772,0.908434,7.64799,0.02,0.97023,0,0.5,-2,2.5,3
v0010,RobustLQR_WV,0.0198037,0.0306142,0.103576,0.773062,2.68178,8.67422,0.245,0.981431,0,0.5,-2,2.5,3
v0011,Proposed,0.0492478,0.0557092,0.131221,0.8,2.30013,26.4618,0.84,0.974529,0,0.5,-2,2.5,7.5
v0011,BaselineB,0.0861209,0.090263,0.265288,0.796615,2.09548,40.7078,0.96,0.968261,0,0.5,-2,2.5,7.5
v0011,NominalLQR,0.0337804,0.0389208,0.124201,0.762499,2.49532,20.2488,0.735,0.975397,0,0.5,-2,2.5,7.5
v0011,RobustLQR_WV,0.0338476,0.0423032,0.141718,0.8,2.57455,19.963,0.945,0.983083,0,0.5,-2,2.5,7.5
v0100,Proposed,0.0929236,0.0951277,0.229288,0.8,1.28238,37.2021,0.76,0.980697,0,0.5,5,-0.5,3
v0100,BaselineB,0.258988,0.269159,0.738188,0.8,1.14993,174.111,0.92,0.975384,0,0.5,5,-0.5,3
v0100,NominalLQR,0.0417895,0.0626982,0.124803,0.766797,1.52109,8.09199,0.025,0.983134,0,0.5,5,-0.5,3
v0100,RobustLQR_WV,0.0506344,0.0738297,0.123117,0.766377,2.38045,7.38961,0.325,0.987378,0,0.5,5,-0.5,3
v0101,Proposed,0.602813,0.629312,1.42274,0.8,1.08058,1029.12,0.945,0.978319,0,0.5,5,-0.5,7.5
v0101,BaselineB,1.2363,1.31504,3.16084,0.675,0.930811,3569.58,0.975,0.972666,0,0.5,5,-0.5,7.5
v0101,NominalLQR,0.225753,0.250549,0.515744,0.730364,1.21387,205.225,0.925,0.980336,0,0.5,5,-0.5,7.5
v0101,RobustLQR_WV,0.222262,0.251235,0.469515,0.716501,1.2552,198.152,0.96,0.985636,0,0.5,5,-0.5,7.5
v0110,Proposed,0.0219318,0.0346015,0.097296,0.8,1.96356,7.56066,0.305,0.981039,0,0.5,5,2.5,3
v0110,BaselineB,0.0359112,0.0444452,0.132005,0.791504,2.31051,10.9339,0.625,0.975539,0,0.5,5,2.5,3
v0110,NominalLQR,0.0313818,0.0495477,0.101533,0.625916,1.12832,4.89526,0.02,0.983626,0,0.5,5,2.5,3
v0110,RobustLQR_WV,0.04852,0.0713278,0.115105,0.8,2.66428,6.11373,0.35,0.987801,0,0.5,5,2.5,3
v0111,Proposed,0.044319,0.0504862,0.119844,0.799127,2.3092,25.338,0.89,0.978424,0,0.5,5,2.5,7.5
v0111,BaselineB,0.0612503,0.0712807,0.174347,0.772576,2.17561,35.4041,0.96,0.972629,0,0.5,5,2.5,7.5
v0111,NominalLQR,0.0448835,0.0586502,0.126909,0.782405,2.50733,18.7271,0.81,0.980524,0,0.5,5,2.5,7.5
v0111,RobustLQR_WV,0.0548237,0.0754546,0.143332,0.799133,2.57234,20.1117,0.95,0.985837,0,0.5,5,2.5,7.5
v1000,Proposed,0.289684,0.471982,2.41637,0.757166,0.982716,166.159,0.71,0.894568,0,1.5,-2,-0.5,3
v1000,BaselineB,53.4402,90.2925,430.891,0.8,0.523281,4.46853e+06,0.905,0.90933,1,1.5,-2,-0.5,3
v1000,NominalLQR,0.0250626,0.0377862,0.11631,0.625905,1.31044,9.01652,0.02,0.889804,0,1.5,-2,-0.5,3
v1000,RobustLQR_WV,0.020709,0.0289768,0.114897,0.794666,2.4547,9.07781,0.24,0.950453,0,1.5,-2,-0.5,3
v1001,Proposed,191.918,284.732,1359.14,0.738051,0.399097,5.03273e+07,0.94,0.916018,1,1.5,-2,-0.5,7.5
v1001,BaselineB,1076.08,1763.38,8451.18,0.780427,0.338244,1.60895e+09,0.97,0.88611,1,1.5,-2,-0.5,7.5
v1001,NominalLQR,0.111178,0.130276,0.326045,0.736102,1.37902,67.5786,0.905,0.925752,0,1.5,-2,-0.5,7.5
v1001,RobustLQR_WV,0.115904,0.124006,0.278657,0.739698,1.37144,70.4414,0.96,0.95873,0,1.5,-2,-0.5,7.5
v1010,Proposed,0.0231861,0.0285345,0.095309,0.8,2.13035,8.11617,0.255,0.926852,0,1.5,-2,2.5,3
v1010,BaselineB,0.0371421,0.0428775,0.118747,0.8,2.52752,10.9074,0.495,0.91546,0,1.5,-2,2.5,3
v1010,NominalLQR,0.0162733,0.0257766,0.0975864,0.694524,1.05809,5.50249,0.02,0.932649,0,1.5,-2,2.5,3
v1010,RobustLQR_WV,0.02096,0.0350086,0.103519,0.8,2.80106,7.02728,0.29,0.959564,0,1.5,-2,2.5,3
v1011,Proposed,0.0422145,0.0463348,0.13611,0.8,2.30574,23.0518,0.86,0.919178,0,1.5,-2,2.5,7.5
v1011,BaselineB,0.064448,0.0667388,0.190048,0.779575,2.02135,33.767,0.955,0.903535,0,1.5,-2,2.5,7.5
v1011,NominalLQR,0.0311073,0.0356842,0.120441,0.758339,2.50756,17.7355,0.765,0.92328,0,1.5,-2,2.5,7.5
v1011,RobustLQR_WV,0.0344571,0.0430294,0.141189,0.8,2.58735,18.5125,0.945,0.961545,0,1.5,-2,2.5,7.5
