trial,Controller,RMSE_theta,RMSE_theta_max,IAE_theta,peak_theta,peak_theta_mean,peak_u,peak_uabs,energy_u,energy_uabs,energy_z,duty_du,duty_abs,duty_normsat,rho,unstable
0,Proposed,0.0131685,0.0167323,0.147789,0.0619629,0.0416774,0.400206,0.469357,0.0553213,0.271247,17.3691,0,0.0366667,0,0.953331,0
0,NoRelax-ProposedActive,0.0318545,0.0354213,0.343109,0.106262,0.10306,0.577468,0.541361,0.131093,0.353124,23.4436,0,0.05,0.01,0.933662,0
0,QS-Hinf,0.0364212,0.0462463,0.452569,0.0875819,0.073236,0.39921,0.414106,0.0290585,0.168227,10.2886,0,0.0166667,0,0.993799,0
0,PDL-Hinf,0.0471531,0.0554953,0.4897,0.17327,0.165188,0.645464,0.607135,0.198185,0.453723,28.9231,0,0.06,0.0266667,0.900681,0
0,RobustLQR,0.0291499,0.0367256,0.34823,0.0777707,0.0627445,0.401733,0.420375,0.0415424,0.200589,11.4111,0,0.03,0,0.976927,0
0,Core-CQLF-Hinf,0.0332111,0.0419622,0.413283,0.0816743,0.0676705,0.400122,0.415325,0.0302624,0.178604,10.9101,0,0.0233333,0,0.992675,0
1,Proposed,0.0181548,0.0230994,0.208357,0.0606841,0.0496712,0.400206,0.456676,0.0548091,0.240887,20.6864,0,0.0366667,0,0.964342,0
1,NoRelax-ProposedActive,0.044597,0.0499453,0.482902,0.139042,0.134722,0.628752,0.537162,0.131488,0.337085,29.9695,0,0.05,0.01,0.953431,0
1,QS-Hinf,0.0311724,0.0384859,0.392513,0.0744793,0.0630306,0.39921,0.410261,0.0294754,0.1546,12.1939,0,0.0133333,0,0.993631,0
1,PDL-Hinf,0.0654965,0.0759501,0.69182,0.224093,0.215223,0.623925,0.615528,0.192292,0.470564,39.2592,0,0.06,0.03,0.941412,0
1,RobustLQR,0.028178,0.0364561,0.34309,0.0699253,0.0586945,0.401733,0.413127,0.0423623,0.182924,12.5157,0,0.03,0,0.980864,0
1,Core-CQLF-Hinf,0.0279802,0.0336693,0.351386,0.0695832,0.0593873,0.400122,0.411197,0.0307738,0.163689,12.9769,0,0.0233333,0,0.9924,0
2,Proposed,0.0171765,0.0210771,0.195305,0.0495955,0.0470049,0.400206,0.41536,0.0592779,0.187628,20.5605,0,0.0366667,0,0.942253,0
2,NoRelax-ProposedActive,0.0377603,0.0440571,0.400171,0.136583,0.123122,0.427078,0.444514,0.162029,0.270592,26.8383,0,0.0533333,0,0.915905,0
2,QS-Hinf,0.0204432,0.0248922,0.246521,0.0550146,0.0476687,0.39921,0.39921,0.0303347,0.125113,16.2096,0,0,0,0.990871,0
2,PDL-Hinf,0.0524635,0.0630548,0.539422,0.214747,0.183667,0.593282,0.472041,0.240019,0.382137,32.4185,0,0.07,0,0.895219,0
2,RobustLQR,0.0180149,0.0215461,0.213367,0.0466232,0.0407748,0.401733,0.405636,0.0430054,0.147883,14.0355,0,0.03,0,0.972121,0
2,Core-CQLF-Hinf,0.0195159,0.0245717,0.234153,0.0513875,0.0447908,0.400122,0.400122,0.031651,0.132422,16.9311,0,0.00333333,0,0.989279,0
3,Proposed,0.0165952,0.0212467,0.189772,0.0587779,0.0470825,0.400206,0.441693,0.0556995,0.240033,19.2938,0,0.0366667,0,0.941761,0
3,NoRelax-ProposedActive,0.0357278,0.0416901,0.383597,0.118353,0.115811,0.558129,0.499944,0.12733,0.335297,25.3676,0,0.0466667,0.00333333,0.905976,0
3,QS-Hinf,0.0262112,0.0348708,0.328304,0.0767205,0.0600314,0.39921,0.409063,0.0305414,0.157922,13.435,0,0.0166667,0,0.992009,0
3,PDL-Hinf,0.04993,0.0605191,0.517479,0.18295,0.174162,0.559763,0.549975,0.189794,0.469617,30.597,0,0.0633333,0.0266667,0.897094,0
3,RobustLQR,0.0219117,0.0276338,0.263722,0.0645014,0.0511717,0.401733,0.410188,0.0437277,0.18741,12.9059,0,0.03,0,0.97298,0
3,Core-CQLF-Hinf,0.0243537,0.0327036,0.303267,0.0716586,0.0568082,0.400122,0.409747,0.0319974,0.166414,14.0876,0,0.0233333,0,0.990607,0
4,Proposed,0.0203998,0.0264399,0.233246,0.0794657,0.0568876,0.400206,0.471243,0.0553425,0.286324,21.5711,0,0.0466667,0,0.967387,0
4,NoRelax-ProposedActive,0.0483237,0.0549474,0.526106,0.148968,0.143528,0.577129,0.56596,0.108616,0.406374,31.8679,0,0.0566667,0.0266667,0.957993,0
4,QS-Hinf,0.0330561,0.0399674,0.419557,0.0838797,0.0672458,0.39921,0.413948,0.031159,0.184575,12.3999,0,0.0266667,0,0.993827,0
4,PDL-Hinf,0.0707688,0.082537,0.749656,0.240877,0.229898,0.55568,0.685526,0.161551,0.609223,42.431,0,0.07,0.0333333,0.947995,0
4,RobustLQR,0.0292258,0.0388074,0.356879,0.0785627,0.0621605,0.401733,0.414387,0.0474814,0.223326,12.71,0,0.04,0,0.982151,0
4,Core-CQLF-Hinf,0.0298986,0.0358641,0.377438,0.0824208,0.0639462,0.400122,0.415331,0.0327192,0.194494,13.1671,0,0.03,0,0.992604,0
5,Proposed,0.0223877,0.0286153,0.259684,0.067131,0.0585582,0.438909,0.457278,0.0574074,0.296843,22.1464,0,0.0366667,0,0.961817,0
5,NoRelax-ProposedActive,0.0488926,0.0555492,0.531014,0.150822,0.145812,0.496803,0.54746,0.116769,0.444597,31.99,0,0.05,0.01,0.951057,0
5,QS-Hinf,0.0258339,0.0328499,0.320006,0.0767865,0.060565,0.39921,0.411266,0.0304088,0.182039,14.178,0,0.02,0,0.992354,0
5,PDL-Hinf,0.0696676,0.0813586,0.738095,0.236128,0.22647,0.516443,0.633894,0.176103,0.664593,41.7535,0,0.06,0.0333333,0.938921,0
5,RobustLQR,0.0241045,0.0315735,0.29585,0.0711842,0.053724,0.401733,0.412065,0.0440333,0.214962,13.2979,0,0.03,0,0.979607,0
5,Core-CQLF-Hinf,0.0243576,0.0319183,0.30209,0.0749239,0.0579987,0.400122,0.413041,0.0316032,0.190967,15.029,0,0.03,0,0.990813,0
6,Proposed,0.0182318,0.0234654,0.209436,0.0590727,0.0498439,0.400206,0.441912,0.0551054,0.264791,19.7862,0,0.0366667,0,0.934493,0
6,NoRelax-ProposedActive,0.0373902,0.0435584,0.402511,0.122493,0.11989,0.500157,0.50186,0.130618,0.382225,26.0739,0,0.0466667,0.00333333,0.912692,0
6,QS-Hinf,0.0261725,0.0358936,0.323166,0.0781794,0.0626341,0.39921,0.40953,0.0298112,0.167496,14.3429,0,0.0166667,0,0.9915,0
6,PDL-Hinf,0.0515887,0.062366,0.53702,0.186967,0.178289,0.5711,0.553764,0.197489,0.53716,31.4622,0,0.06,0.0266667,0.903455,0
6,RobustLQR,0.0204656,0.0254536,0.245941,0.065321,0.0491987,0.401733,0.409908,0.043033,0.196856,13.1958,0,0.03,0,0.972137,0
6,Core-CQLF-Hinf,0.0247901,0.0342904,0.306075,0.0736449,0.0593224,0.400122,0.410324,0.0310878,0.17614,14.9953,0,0.0233333,0,0.989997,0
7,Proposed,0.01792,0.0222675,0.206454,0.0530217,0.0478864,0.400206,0.435538,0.0594788,0.207888,21.1173,0,0.0333333,0,0.960597,0
7,NoRelax-ProposedActive,0.0433961,0.0494524,0.467601,0.137534,0.134107,0.487118,0.494145,0.133916,0.280873,29.6737,0,0.0466667,0,0.948434,0
7,QS-Hinf,0.0275837,0.0321352,0.340647,0.0679075,0.0593413,0.39921,0.406652,0.0305969,0.139666,13.879,0,0.00666667,0,0.992858,0
7,PDL-Hinf,0.0627755,0.0739817,0.659779,0.219196,0.209106,0.669317,0.548166,0.211817,0.394407,37.9948,0,0.06,0.0233333,0.934614,0
7,RobustLQR,0.0249885,0.0326223,0.30044,0.0615781,0.0530196,0.401733,0.406525,0.0446489,0.167967,13.2634,0,0.0233333,0,0.978978,0
7,Core-CQLF-Hinf,0.0247322,0.0274339,0.303257,0.0655073,0.0551394,0.400122,0.407189,0.031762,0.14714,14.6467,0,0.0233333,0,0.991511,0
