trial,Controller,RMSE_theta,RMSE_theta_max,IAE_theta,peak_theta,peak_theta_mean,peak_u,peak_uabs,energy_u,energy_uabs,energy_z,duty_du,duty_abs,duty_normsat,rho,unstable
0,Proposed,0.0129135,0.0165281,0.145781,0.0624326,0.0410766,0.400376,0.469832,0.0567915,0.266384,16.6928,0,0.0366667,0,0.95716,0
0,PDL-Hinf(d=0.95),0.046848,0.0560825,0.486361,0.171781,0.162864,0.601234,0.598714,0.194639,0.452168,29.1131,0,0.06,0.03,0.889703,0
0,PDL-Hinf(d=0.90),0.056602,0.0842176,0.55499,0.225347,0.186143,0.501642,0.614779,0.610524,0.700798,36.197,0,0.0833333,0.0533333,0.860673,0
0,PDL-Hinf(d=0.85),0.0634072,0.0981559,0.601501,0.284527,0.205442,0.8,0.654112,2.02297,1.28365,41.1147,0.00333333,0.153333,0.0966667,0.833192,0
1,Proposed,0.0166325,0.0213712,0.18793,0.0608085,0.0481848,0.400376,0.456507,0.0564119,0.236483,19.7039,0,0.0366667,0,0.967239,0
1,PDL-Hinf(d=0.95),0.0650161,0.0764224,0.686273,0.2218,0.212087,0.58097,0.606348,0.18942,0.467885,39.4428,0,0.06,0.03,0.93906,0
1,PDL-Hinf(d=0.90),0.0783152,0.113212,0.790502,0.290603,0.24328,0.606035,0.635282,0.593911,0.766607,51.4784,0,0.0866667,0.0566667,0.868175,0
1,PDL-Hinf(d=0.85),0.0884423,0.134472,0.86024,0.361375,0.270942,0.728793,0.684358,1.91454,1.36522,60.0624,0,0.173333,0.106667,0.835181,0
2,Proposed,0.0152265,0.01814,0.173216,0.0431711,0.0411063,0.400376,0.415786,0.0610242,0.184791,19.6214,0,0.0366667,0,0.94886,0
2,PDL-Hinf(d=0.95),0.0522368,0.063861,0.536517,0.216043,0.181516,0.640238,0.469543,0.245115,0.384298,32.6358,0,0.07,0,0.893419,0
2,PDL-Hinf(d=0.90),0.064852,0.0912681,0.615914,0.339508,0.218084,0.8,0.505372,0.815427,0.731354,42.0398,0.00333333,0.136667,0.09,0.862625,0
2,PDL-Hinf(d=0.85),0.0834606,0.138645,0.783215,0.467497,0.253575,0.8,0.765993,2.23373,1.7257,59.594,0.02,0.326667,0.3,0.833748,0
3,Proposed,0.0152407,0.0191651,0.172716,0.0581669,0.0456137,0.400376,0.441901,0.0575821,0.236384,18.4584,0,0.0366667,0,0.948633,0
3,PDL-Hinf(d=0.95),0.0496717,0.0612536,0.514209,0.181697,0.171828,0.513449,0.542629,0.187914,0.466768,30.791,0,0.0633333,0.0266667,0.89538,0
3,PDL-Hinf(d=0.90),0.0594101,0.0882039,0.577015,0.255026,0.196911,0.8,0.557953,0.580593,0.764774,37.8089,0.00333333,0.12,0.0533333,0.866131,0
3,PDL-Hinf(d=0.85),0.0691637,0.100446,0.644005,0.335497,0.22145,0.8,0.5832,1.69902,1.397,44.4506,0.00333333,0.223333,0.156667,0.838002,0
4,Proposed,0.0186896,0.0242075,0.209216,0.0792749,0.0551186,0.432426,0.471128,0.0578587,0.281893,20.5057,0,0.0466667,0,0.969959,0
4,PDL-Hinf(d=0.95),0.0702173,0.0829108,0.743495,0.237961,0.226355,0.503834,0.672883,0.157061,0.603662,42.5889,0,0.07,0.0333333,0.946087,0
4,PDL-Hinf(d=0.90),0.0845155,0.121351,0.856281,0.308747,0.261214,0.526449,0.680676,0.457268,0.986969,56.0598,0,0.13,0.0633333,0.897178,0
4,PDL-Hinf(d=0.85),0.09709,0.14454,0.943246,0.394031,0.295415,0.8,0.709557,1.33535,1.60225,66.4583,0.00333333,0.246667,0.173333,0.863825,0
5,Proposed,0.0202433,0.0259762,0.232732,0.0675211,0.0552296,0.416839,0.456547,0.0574718,0.287805,21.0264,0,0.0366667,0,0.965442,0
5,PDL-Hinf(d=0.95),0.0691781,0.0818806,0.732243,0.233592,0.223157,0.569719,0.624479,0.177344,0.662645,41.9427,0,0.06,0.0333333,0.936402,0
5,PDL-Hinf(d=0.90),0.0827826,0.119255,0.836006,0.308624,0.256012,0.697897,0.660642,0.550746,1.06738,54.6768,0,0.12,0.0566667,0.874308,0
5,PDL-Hinf(d=0.85),0.0953608,0.140577,0.924943,0.399085,0.28894,0.726906,0.698672,1.57925,1.70461,64.7045,0,0.26,0.156667,0.839956,0
6,Proposed,0.0166574,0.0211751,0.190988,0.0584397,0.0481964,0.400376,0.441765,0.0572511,0.259054,18.9067,0,0.0366667,0,0.945785,0
6,PDL-Hinf(d=0.95),0.0513267,0.063134,0.533714,0.185688,0.175939,0.51794,0.547322,0.195098,0.534452,31.6613,0,0.06,0.0266667,0.901837,0
6,PDL-Hinf(d=0.90),0.0612386,0.0906023,0.596351,0.259992,0.201182,0.8,0.582619,0.616532,0.857647,38.9628,0.00333333,0.123333,0.0533333,0.872562,0
6,PDL-Hinf(d=0.85),0.0712426,0.103018,0.666536,0.339871,0.225674,0.741092,0.598493,1.81319,1.50664,45.7369,0,0.243333,0.163333,0.843704,0
7,Proposed,0.0161205,0.0199314,0.184352,0.0534187,0.0449147,0.400376,0.435918,0.0613189,0.206131,20.1004,0,0.0333333,0,0.963899,0
7,PDL-Hinf(d=0.95),0.0623684,0.0745815,0.654892,0.217029,0.206143,0.693761,0.540539,0.212648,0.393365,38.1986,0,0.06,0.0266667,0.931859,0
7,PDL-Hinf(d=0.90),0.0752158,0.10951,0.75045,0.3062,0.238736,0.8,0.560573,0.650308,0.677864,49.3747,0.00666667,0.106667,0.0566667,0.861498,0
7,PDL-Hinf(d=0.85),0.0863125,0.12851,0.822481,0.388397,0.267807,0.8,0.598743,1.98463,1.29097,58.5429,0.00666667,0.18,0.136667,0.829377,0
